"Country","Age","Gender","Kids","Edu","Work.Status","Annual.Income","Occupation","TenureYears","TenureMonths","CommSize","MaritalStat","Sons","Daughters","Iwastealotoft","EvenafterImak","Idonâtmakedec","Idelaymakingd","Iputoffmaking","Ipaymybillson","Iampromptando","Ilayoutmyclot","Ifindmyselfru","Idonâtgetthin","Ifsomeonewere","Myfriendsandf","Igetimportant","Iamnotverygoo","0Ifindmyselfr","1Ischeduledoc","2Iammorepunct","3Idoroutinema","4WhenIhavetob","5Puttingthing","Ioftenfindmys","Ioftenmisscon","Whenplanninga","Whenitistimet","Alettermaysit","Igenerallyret","Evenjobsthatr","Iusuallymaked","Igenerallydel","0Whentravelin","1Whenpreparin","2Inpreparatio","3Ifabillforas","4Iusuallyretu","5Ioftenhaveat","6Ialwaysseemt","7Iusuallybuye","8Iusuallyacco","9Iamcontinual","0Iusuallytake","Inmostwaysmyl","Theconditions","Iamsatisfiedw","SofarIhavegot","IfIcouldlivem","YouConsider","OtheConsider","DPMean","AIPMean","GPMean","SWLSPMean","2016_Est_HDI","HDI_Category"
"Afghanistan",80,"Female","No Kids","grade","unemployed",10000,"",0,0,"Medium-Sized","Single",2,0,2,3,2,3,5,2,2,3,4,2,2,2,1,1,3,5,4,3,3,4,4,4,1,4,4,4,4,3,2,2,3,3,2,3,2,4,4,4,3,4,2,4,3,3,2,"yes","no",3,2.7,3.2,2.8,0.479,"Low"
"Afghanistan",55,"Male","Yes Kids","ma","full-time",150000,"",0,0,"Large Town","Married",5,2,4,4,4,3,3,3,4,5,4,3,4,3,5,4,3,5,5,1,5,4,4,4,5,3,1,3,4,4,4,4,4,4,3,4,4,4,4,4,3,4,3,3,2,2,2,"yes","yes",3.6,3.9,3.7,2.4,0.479,"Low"
"Afghanistan",55,"Male","No Kids","deg","full-time",87500,"",0,6,"Large Town","Married",2,0,3,3,3,4,3,3,2,2,2,3,2,3,3,2,3,4,2,4,2,3,4,2,4,3,3,3,3,4,4,2,2,3,2,4,3,4,3,3,4,4,3,2,2,3,2,"yes","no",3.2,2.7,3.2,2.4,0.479,"Low"
"Afghanistan",55,"Female","Yes Kids","deg","full-time",10000,"",7,0,"Village","Divorced",5,0,4,3,4,3,2,1,2,1,4,3,5,4,4,3,3,3,4,3,3,3,3,2,2,5,3,3,3,5,3,1,2,3,1,1,3,3,3,4,3,3,1,1,1,3,1,"no","yes",3.2,3.1,2.8,1.4,0.479,"Low"
"Albania",67.5,"Male","Yes Kids","deg","part-time",87500,"Media Consultant",4,0,"Large-City","Divorced",2,2,4,3,2,2,1,4,1,5,1,2,1,1,3,2,3,3,1,3,1,5,4,1,2,2,3,2,2,2,4,1,2,4,4,4,4,4,4,3,4,4,3,4,3,5,4,"yes","no",2.4,2.4,3,3.8,0.764,"High"
"Albania",45,"Female","No Kids","ltuni","full-time",150000,"",0,0,"Large Town","Single",2,0,3,3,5,3,3,3,1,2,1,2,2,2,2,1,2,3,2,2,1,5,5,3,2,2,5,4,5,5,5,1,3,4,5,5,5,4,3,4,4,4,3,3,3,4,2,"yes","no",3.4,2.1,3.9,3,0.764,"High"
"Algeria",55,"Female","Yes Kids","dip","full-time",55000,"Assoc. Governmental Program Analyst",28,0,"Large-City","Married",2,4,3,2,1,1,1,2,1,1,3,3,5,1,2,3,3,1,1,1,2,3,3,1,1,3,4,1,2,2,3,1,3,3,2,2,3,3,2,3,3,2,3,3,4,4,5,"yes","no",1.6,2.1,2.4,3.8,0.745,"High"
"Algeria",45,"Male","Yes Kids","ma","full-time",35000,"",10,0,"Village","Married",NA,0,4,4,5,4,4,4,1,4,1,3,3,4,2,3,3,3,1,5,3,3,3,2,4,3,3,4,4,2,4,3,2,4,4,2,4,4,4,4,4,4,3,3,4,4,4,"yes","yes",4.2,2.9,3.4,3.6,0.745,"High"
"Algeria",37.5,"Female","No Kids","deg","full-time",67500,"",9,6,"Village","Married",2,0,4,4,5,5,4,1,2,5,4,2,3,3,3,1,3,5,3,2,3,3,4,2,4,3,4,5,2,5,3,1,5,3,1,3,4,5,4,3,2,5,5,5,5,3,3,"yes","no",4.4,2.9,3.4,4.2,0.745,"High"
"Andorra",55,"Male","Yes Kids","ma","full-time",250000,"Finance",23,0,"Large-City","Married",2,5,2,2,2,2,2,1,2,3,2,2,2,2,3,2,2,4,4,3,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,2,2,3,4,3,2,4,3,4,4,4,3,"no","no",2,2.4,2.5,3.6,0.858,"Very High"
