"Country","HDI_Category","2016_Est_HDI","GPMean"
"Qatar","Very High",0.856,4.2
"Panama","High",0.788,4
"Myanmar","Medium",0.556,3.8
"Sri Lanka","High",0.766,3.8
"Poland","Very High",0.855,3.78
"Austria","Very High",0.893,3.76666666666667
"Turkey","High",0.767,3.74444444444444
"Ecuador","High",0.739,3.7
"France","Very High",0.897,3.68461538461538
"Uruguay","High",0.795,3.66666666666667
"Slovenia","Very High",0.89,3.66666666666667
"Sweden","Very High",0.913,3.65714285714286
"Malaysia","High",0.789,3.65
"Portugal","Very High",0.843,3.64285714285714
"Bahamas","High",0.792,3.6
